time,ax,ay,az,atotal
3.279,0.05,0.01,-0.03,0.06
3.289,0.13,0.03,-0.02,0.14
3.299,0.05,-0.01,-0.03,0.06
3.309,0.01,-0.07,-0.05,0.08
3.319,-0.11,-0.02,-0.29,0.31
3.328,-0.17,0.03,-0.41,0.45
3.338,-0.08,-0.00,0.01,0.08
3.348,-0.05,0.02,0.34,0.35
3.358,0.09,0.09,0.16,0.21
3.368,0.33,0.24,-0.25,0.48
3.378,0.49,0.13,-0.32,0.60
3.388,0.37,-0.15,-0.01,0.39
3.398,0.03,-0.17,0.23,0.29
3.408,-0.27,-0.11,0.33,0.44
3.418,-0.42,-0.06,0.43,0.61
3.428,-0.35,-0.13,0.29,0.47
3.438,-0.14,-0.04,0.04,0.15
3.448,0.09,0.17,-0.04,0.19
3.458,0.31,0.20,-0.32,0.49
3.468,0.39,0.10,-0.53,0.66
